name,old_price,new_price
Pringles Potato Crisps 118g-134g,5.5,2.75
Cheezels 125g,3.25,1.62
MasterFoods Squeeze Tomato or Barbecue Sauce 475mL-500mL,1.6,6.0
Peckish Fancies Rice Crackers 90g,3.0,2.0
Wicked Kalamata Olives 425g,5.0,4.0
Kettle Potato Chips 150g-165g,6.0,4.8
Always Fresh Grissini Breadsticks or Crustini Crackers 120g-125g,4.5,3.15
Coles Australian Roasted & Salted or Natural Macadamias 400g Pack,18.0,15.0
"Arnott's Jatz Crackers 225g, Arnott's Shapes Crackers 130g-190g, Arnott's Cruskits Crispbread 125g, Arnott's Salada Crispbread 250g, Arnott's Cream Biscuits 200g-250g or Arnott's Vita-Weat Crispbread 250g",2.0,6.0
Urban Cookie Co. Indulgent Cookies 200g,5.5,2.75
CC’s Corn Chips 175g or Cornados 110g,4.7,2.35
Majans Bhuja Mix 140g-160g,4.5,2.25
"Twisties, Burger Rings or Cheetos 80g-90g",1.4,4.0
Smith's Crinkle Cut or Double Crunch Potato Chips or Doritos Corn Chips 150g-170g,3.6,6.0
Red Rock Deli Potato Chips 150g-165g,4.6,8.0
Table of Plenty Grazing Poppers 60g,4.5,2.25
Heritage Mill Muesli or Clusters 750g,6.8,3.4
Kellogg's Nutri Grain Cereal 765g,10.8,7.5
Red Tractor Protein Granola Peanut Butter 450g,7.9,5.9
Nice & Natural Protein or Layered Bars 165g-175g,6.0,4.8
Vege Chips 100g or Rice Crackers 75g,4.9,2.45
Bob Snail Fruit Rolls 60g,4.5,2.25
Nice & Natural Nut Bars 180g-192g,3.0,7.0
Mayver’s Smooth or Crunchy Natural Peanut Butter 375g,5.8,4.6
